,Custkey,Recency,Frequency,Monetary,Recency_pt_mm,Frequency_pt_mm,Monetary_pt_mm,Cluster,R,F,M,RFM_score,RFM_class
195,10014540,0.003703703703703704,2,150000.0,0.12313957315293905,0.08902158843220692,0.5715864492161821,2,1,1,4,6,family
196,10014546,0.01694915254237288,348,194283.87,0.4550246800418777,0.7423910863264704,0.5960995002230258,1,3,5,5,13,diamond
197,10014739,0.011235955056179775,40,20805.7,0.3715108441283499,0.47038263297677774,0.3896789431897173,1,2,4,3,9,gold
198,10014779,0.5,52,67272.95,1.0,0.5035218823961366,0.4966285998060327,0,5,4,4,13,diamond
199,10014802,0.00819672131147541,36,37658.15,0.3044340881934842,0.45706280404745103,0.4433478245803256,1,2,4,3,9,gold
200,10014803,0.008403361344537815,17,16605.95,0.3098271127976533,0.3620132875267223,0.36949825991646307,1,2,3,3,8,silver
201,10014804,0.011904761904761904,35,32062.1,0.3835206328390614,0.4535002609504273,0.4287148994292992,1,2,4,3,9,gold
202,10014810,0.3333333333333333,32,129748.38,0.9463178525890044,0.44216453565255975,0.5579137854498086,0,5,3,4,12,platinum
203,10015011,0.3333333333333333,103,300603.08,0.9463178525890044,0.5896574843209118,0.6378310975550495,0,5,5,5,15,diamond
204,10015030,0.5,38,65857.94,1.0,0.46389890081890217,0.49466238416993025,0,5,4,4,13,diamond
205,10015253,0.011904761904761904,16,13678.18,0.3835206328390614,0.35431835694665165,0.3522310350339381,1,2,3,2,7,silver
206,10015267,0.008064516129032258,122,200219.9,0.30090274636968506,0.6109487853802185,0.5989620029587871,1,2,5,5,12,platinum
207,10015275,0.09090909090909091,50,40939.93,0.7545348962856855,0.49857056057801835,0.45097192080952847,0,4,4,3,11,platinum
208,10015325,0.25,65,65977.48,0.906526372288319,0.5316743787646053,0.49483007401711765,0,5,4,4,13,diamond
209,10015495,0.012048192771084338,486,775350.4,0.3859972714509343,0.7841369926129644,0.7300540829651194,1,3,5,5,13,diamond
210,10015789,0.008928571428571428,24,87188.84,0.3228881719538712,0.40574050839049625,0.5207001966261835,1,2,3,4,9,gold
211,10015793,0.04,80,48642.630000000005,0.6160699057642254,0.5578437820158707,0.46675389653805927,0,4,4,3,11,platinum
212,10015824,0.043478260869565216,44,292598.06,0.6307974084369571,0.48242608957198246,0.6352368474132074,0,4,4,5,13,diamond
213,10015886,0.16666666666666666,8,3219.2000000000003,0.8479288988123537,0.2661797888452259,0.22612309648319695,3,5,2,1,8,silver
214,10015956,0.5,23,66033.73,1.0,0.40034768010034083,0.4949088787199302,0,5,3,4,12,platinum
215,10016045,0.012048192771084338,21,9498.59,0.3859972714509343,0.38881674311320913,0.3199996067600988,1,3,3,2,8,silver
216,10016047,0.00847457627118644,13,18987.96,0.3116511969006672,0.32794626195388693,0.3814819732337315,1,2,2,3,7,silver
217,10016113,0.0022935779816513763,2,407.57000000000005,0.004638957417609391,0.08902158843220692,0.05391708229632203,2,1,1,1,3,family
218,10016334,0.01098901098901099,77,69940.64,0.36687144287678747,0.553028605502702,0.5002282726649202,1,2,4,4,10,gold
219,10016542,0.01098901098901099,3,1281.15,0.36687144287678747,0.14095891508431174,0.1482175645647441,3,2,1,1,4,family
220,10016548,0.012048192771084338,227,302113.24,0.3859972714509343,0.6888932148462401,0.6383129506973755,1,3,5,5,13,diamond
221,10016549,0.5,269,202055.25,1.0,0.7101627873604417,0.5998303352645198,0,5,5,5,15,diamond
222,10016564,0.007194244604316547,8,23180.370000000003,0.2758977636733437,0.2661797888452259,0.3993942835008487,2,1,2,3,6,family
